"mukey","cokey","comppct_r","compname"
461658,14398117,30,"Marpa"
461658,14398118,3,"Goulding"
461658,14398119,8,"Rock outcrop"
461658,14398120,55,"Bamtush"
461658,14398121,1,"Unnamed"
461657,14398109,3,"Maymen"
461657,14398110,40,"Neuns"
461657,14398111,25,"Bamtush"
461657,14398112,6,"Rock outcrop"
461657,14398113,5,"Marpa"
461657,14398114,1,"Unnamed"
461657,14398115,20,"Goulding"
461656,14398104,50,"Freezeout"
461656,14398105,35,"Yollabolly"
461656,14398106,9,"Rock outcrop"
461656,14398107,5,"Bamtush"
461656,14398108,1,"Unnamed"
461655,14398099,55,"Freezeout"
461655,14398100,30,"Yollabolly"
461655,14398101,9,"Rock outcrop"
461655,14398102,5,"Bamtush"
461655,14398103,1,"Unnamed"
461654,14398094,30,"Freezeout"
461654,14398095,55,"Yollabolly"
461654,14398096,9,"Rock outcrop"
461654,14398097,5,"Bamtush"
461654,14398098,1,"Unnamed"
461653,14398089,20,"Freezeout"
461653,14398090,35,"Rock outcrop"
461653,14398091,40,"Yollabolly"
461653,14398092,4,"Bamtush"
461653,14398093,1,"Unnamed"
461652,14398082,25,"Sheetiron"
461652,14398083,35,"Neuns"
461652,14398084,25,"Goulding"
461652,14398085,8,"Rock outcrop"
461652,14398086,3,"Bamtush"
461652,14398087,3,"Marpa"
461652,14398088,1,"Unnamed"
461651,14398075,30,"Sheetiron"
461651,14398076,35,"Neuns"
461651,14398077,3,"Marpa"
461651,14398078,20,"Goulding"
461651,14398079,8,"Rock outcrop"
461651,14398080,3,"Bamtush"
461651,14398081,1,"Unnamed"
461650,14398066,2,"Maymen"
461650,14398067,35,"Neuns"
461650,14398068,30,"Marpa"
461650,14398069,20,"Goulding"
461650,14398070,3,"Bamtush"
461650,14398071,2,"Speaker"
461650,14398072,5,"Rock outcrop"
461650,14398073,2,"Etsel"
461650,14398074,1,"Unnamed"
461649,14398064,90,"Endoaquolls"
461649,14398065,10,"Bamtush"
461648,14398058,35,"Fouts"
461648,14398059,10,"Rock outcrop"
461648,14398060,35,"Yorkville"
461648,14398061,15,"Squawrock"
461648,14398062,4,"Etsel"
461648,14398063,1,"Unnamed"
461647,14398050,3,"Maymen"
461647,14398051,35,"Neuns"
461647,14398052,30,"Bamtush"
461647,14398053,3,"Etsel"
461647,14398054,20,"Speaker"
461647,14398055,5,"Rock outcrop"
461647,14398056,1,"Unnamed"
461647,14398057,3,"Marpa"
461646,14398044,5,"Dubakella"
461646,14398045,45,"Henneke"
461646,14398046,35,"Okiota"
461646,14398047,9,"Rock outcrop"
461646,14398048,5,"Montara"
461646,14398049,1,"Unnamed"
461644,14398036,20,"Mayacama"
461644,14398037,2,"Henneke"
461644,14398038,35,"Maymen"
461644,14398039,30,"Etsel"
461644,14398040,2,"Montara"
461644,14398041,5,"Snook"
461644,14398042,5,"Rock outcrop"
461644,14398043,1,"Unnamed"
461643,14398029,6,"Mayacama"
461643,14398030,4,"Henneke"
461643,14398031,35,"Maymen"
461643,14398032,25,"Etsel"
461643,14398033,25,"Snook"
461643,14398034,1,"Unnamed"
461643,14398035,4,"Okiota"
461642,14398022,35,"Maymen"
461642,14398023,2,"Neuns"
461642,14398024,20,"Speaker"
461642,14398025,30,"Etsel"
461642,14398026,6,"Rock outcrop"
461642,14398027,6,"Goulding"
461642,14398028,1,"Unnamed"
461641,14398013,5,"Henneke"
461641,14398014,30,"Maymen"
461641,14398015,2,"Neuns"
461641,14398016,30,"Etsel"
461641,14398017,20,"Marpa"
461641,14398018,1,"Unnamed"
461641,14398019,5,"Rock outcrop"
461641,14398020,2,"Goulding"
461641,14398021,5,"Okiota"
461640,14398008,65,"Arand"
461640,14398009,2,"Arbuckle"
461640,14398010,25,"Riverwash"
461640,14398011,6,"Maywood"
461640,14398012,2,"Unnamed"
461638,14398000,4,"Henneke"
461638,14398001,3,"Maymen"
461638,14398002,65,"Stonyford"
461638,14398003,15,"Guenoc"
461638,14398004,5,"Etsel"
461638,14398005,5,"Marpa"
461638,14398006,2,"Montara"
461638,14398007,1,"Unnamed"
461637,14397992,4,"Henneke"
461637,14397993,3,"Maymen"
461637,14397994,50,"Stonyford"
461637,14397995,30,"Guenoc"
461637,14397996,5,"Etsel"
461637,14397997,5,"Marpa"
461637,14397998,1,"Unnamed"
461637,14397999,2,"Montara"
461632,14397987,50,"Millsholm"
461632,14397988,40,"Rock outcrop"
461632,14397989,8,"Contra Costa"
461632,14397990,1,"Saltcanyon"
461632,14397991,1,"Unnamed"
461629,14397980,30,"Millsholm"
461629,14397981,8,"Contra Costa"
461629,14397982,4,"Rock outcrop"
461629,14397983,1,"Unnamed"
461629,14397984,15,"Altamont"
461629,14397985,40,"Sehorn"
461629,14397986,2,"Capay"
461626,14397974,90,"Hillgate"
461626,14397975,4,"Capay"
461626,14397976,1,"Contra Costa"
461626,14397977,1,"Millsholm"
461626,14397978,1,"Unnamed"
461626,14397979,3,"Corval"
461625,14397969,90,"Mallard"
461625,14397970,3,"Saltcanyon"
461625,14397971,2,"Arand"
461625,14397972,4,"Hillgate"
461625,14397973,1,"Unnamed"
461624,14397963,90,"Saltcanyon"
461624,14397964,3,"Hillgate"
461624,14397965,1,"Westfan"
461624,14397966,3,"Arand"
461624,14397967,1,"Unnamed"
461624,14397968,2,"Capay"
461623,14397958,85,"Contra Costa"
461623,14397959,6,"Millsholm"
461623,14397960,2,"Rock outcrop"
461623,14397961,1,"Unnamed"
461623,14397962,6,"Altamont"
461621,14397954,40,"Millsholm"
461621,14397955,50,"Contra Costa"
461621,14397956,8,"Rock outcrop"
461621,14397957,2,"Unnamed"
461619,14397950,6,"Balcom"
461619,14397951,3,"Corval"
461619,14397952,1,"Unnamed"
461619,14397953,90,"Positas"
461618,14397941,45,"Goldeagle"
461618,14397942,25,"Positas"
461618,14397943,3,"Ayar"
461618,14397944,2,"Altamont"
461618,14397945,15,"Balcom"
461618,14397946,5,"Contra Costa"
461618,14397947,2,"Corning"
461618,14397948,2,"Hillgate"
461618,14397949,1,"Unnamed"
461617,14397934,55,"Balcom"
461617,14397935,30,"Ayar"
461617,14397936,6,"Altamont"
461617,14397937,3,"Hillgate"
461617,14397938,2,"Capay"
461617,14397939,1,"Millsholm"
461617,14397940,1,"Unnamed"
461616,14397926,55,"Balcom"
461616,14397927,30,"Ayar"
461616,14397928,1,"Millsholm"
461616,14397929,6,"Altamont"
461616,14397930,2,"Capay"
461616,14397931,1,"Unnamed"
461616,14397932,3,"Hillgate"
461616,14397933,2,"Clear Lake"
461615,14397920,60,"Millsholm"
461615,14397921,25,"Altamont"
461615,14397922,2,"Capay"
461615,14397923,8,"Contra Costa"
461615,14397924,1,"Unnamed"
461615,14397925,4,"Sehorn"
461614,14397914,35,"Capay"
461614,14397915,50,"Millsholm"
461614,14397916,3,"Rock outcrop"
461614,14397917,6,"Contra Costa"
461614,14397918,5,"Sehorn"
461614,14397919,1,"Unnamed"
461612,14397908,2,"Capay"
461612,14397909,35,"Rock outcrop"
461612,14397910,5,"Contra Costa"
461612,14397911,1,"Unnamed"
461612,14397912,2,"Sehorn"
461612,14397913,55,"Millsholm"
461610,14397902,4,"Contra Costa"
461610,14397903,55,"Millsholm"
461610,14397904,15,"Rock outcrop"
461610,14397905,20,"Altamont"
461610,14397906,5,"Capay"
461610,14397907,1,"Unnamed"
461607,14397899,95,"Eastpark"
461607,14397900,4,"Venado"
461607,14397901,1,"Unnamed"
461606,14397894,85,"Maywood"
461606,14397895,9,"Arand"
461606,14397896,3,"Arbuckle"
461606,14397897,1,"Riverwash"
461606,14397898,2,"Unnamed"
461605,14397890,90,"Corning"
461605,14397891,6,"Arbuckle"
461605,14397892,1,"Unnamed"
461605,14397893,3,"Ayar"
461603,14397885,85,"Altamont"
461603,14397886,5,"Ayar"
461603,14397887,5,"Sehorn"
461603,14397888,4,"Capay"
461603,14397889,1,"Unnamed"
461602,14397879,85,"Altamont"
461602,14397880,5,"Sehorn"
461602,14397881,5,"Ayar"
461602,14397882,3,"Capay"
461602,14397883,1,"Millsholm"
461602,14397884,1,"Unnamed"
461599,14397870,45,"Altamont"
461599,14397871,35,"Sehorn"
461599,14397872,7,"Contra Costa"
461599,14397873,4,"Ayar"
461599,14397874,3,"Capay"
461599,14397875,2,"Balcom"
461599,14397876,2,"Millsholm"
461599,14397877,1,"Rock outcrop"
461599,14397878,1,"Unnamed"
461598,14397861,4,"Ayar"
461598,14397862,35,"Sehorn"
461598,14397863,45,"Altamont"
