"areasymbol"
"CA011"
"CA013"
"CA021"
"CA031"
"CA033"
"CA041"
"CA053"
"CA055"
"CA067"
"CA069"
"CA077"
"CA087"
"CA095"
"CA097"
"CA101"
"CA113"
"CA600"
"CA601"
"CA602"
"CA603"
"CA604"
"CA605"
"CA606"
"CA607"
"CA608"
"CA609"
"CA610"
"CA612"
"CA614"
"CA618"
"CA619"
"CA620"
"CA624"
"CA628"
"CA630"
"CA632"
"CA637"
"CA638"
"CA641"
"CA642"
"CA644"
"CA645"
"CA646"
"CA647"
"CA648"
"CA649"
"CA651"
"CA653"
"CA654"
"CA659"
"CA660"
"CA663"
"CA664"
"CA665"
"CA666"
"CA667"
"CA668"
"CA669"
"CA670"
"CA671"
"CA672"
"CA673"
"CA674"
"CA675"
"CA676"
"CA677"
"CA678"
"CA679"
"CA680"
"CA681"
"CA682"
"CA683"
"CA684"
"CA685"
"CA686"
"CA687"
"CA688"
"CA689"
"CA691"
"CA692"
"CA693"
"CA694"
"CA695"
"CA696"
"CA697"
"CA698"
"CA699"
"CA701"
"CA702"
"CA703"
"CA704"
"CA707"
"CA708"
"CA709"
"CA713"
"CA719"
"CA724"
"CA729"
"CA731"
"CA732"
"CA740"
"CA750"
"CA760"
"CA763"
"CA772"
"CA776"
"CA777"
"CA788"
"CA789"
"CA790"
"CA792"
"CA793"
"CA794"
"CA795"
"CA796"
"CA802"
"CA803"
"CA804"
"CA805"
"CA806"
